title;description;link;date
"Com queda no 1T24, Eucatex (EUCA4) espera melhora para o segundo trimestre; confira";A Eucatex (EUCA4) reportou o resultado do 1T24 com números em queda, atrapalhados por uma base de comparação fortíssima do 1T23.;https://www.empiricus.com.br/artigos/investimentos/com-queda-no-1t24-eucatex-euca4-espera-melhora-para-o-segundo-trimestre-confira/&ved=2ahUKEwiwxMSi1LaGAxVTRmwGHfhPDS8QxfQBegQICBAC&usg=AOvVaw1DPj7ba0DZB0_kyQcBVS4V;á 2 semanas
Gostos dos consumidores de móveis;Conheça os quatro grupos de gosto do estudo da Tendere para a Eucatex, avaliando macrotendências e comportamento de consumidor.;https://emobile.com.br/site/industria/gostos-dos-consumidores-de-moveis/&ved=2ahUKEwiwxMSi1LaGAxVTRmwGHfhPDS8QxfQBegQICRAC&usg=AOvVaw0T6BKKdrfFTrNkqjB1jMEk;á 2 semanas
Lucro líquido da Eucatex tem queda de 30,9% no 1º trimestre;No primeiro trimestre de 2024 a Eucatex (EUCA3) apresentou um lucro líquido recorrente de R$59,6 milhões, queda de 30,9% em comparação ao mesmo período de...;https://gironews.com/construcao/lucro-liquido-da-eucatex-tem-queda-de-309-no-1o-trimestre/&ved=2ahUKEwiwxMSi1LaGAxVTRmwGHfhPDS8QxfQBegQIBxAC&usg=AOvVaw2bJBZa1Hi1jUZeBejnMN2I;á 2 semanas
Eucatex (EUCA4): lucro líquido cai 30,90% em um ano, a R$ 59,6 milhões no primeiro trimestre;"Eucatex (EUCA4): lucro líquido cai 30,90% em um ano, a R$ 59,6 milhões no primeiro trimestre; A receita líquida consolidada da empresa declinou 5,5% em doze...";https://www.spacemoney.com.br/investimentos/acoes/eucatex-euca4-lucro-liquido-cai-3090-em-um-ano-a-r-596-milhoes/208127/&ved=2ahUKEwiwxMSi1LaGAxVTRmwGHfhPDS8QxfQBegQIBRAC&usg=AOvVaw2I0U3eUwmvvO9ZOy0e5kbZ;á 2 semanas
Eucatex (EUCA4): lucro líquido recorrente de R$ 59,6 milhões no 1T24, queda de 30,9%;A Eucatex apresentou um lucro líquido recorrente de R$ 59,6 milhões no primeiro trimestre de 2024, o que representa uma queda de 30,9% em...;https://br.advfn.com/jornal/2024/05/eucatex-euca4-lucro-liquido-recorrente-de-r-59-6-milhoes-no-1t24-queda-de-30-9&ved=2ahUKEwiwxMSi1LaGAxVTRmwGHfhPDS8QxfQBegQIBBAC&usg=AOvVaw1F-cLqWe6qKDLsasQv-TER;á 2 semanas
Resultado da Tupy, Banrisul, Positivo, Eneva, Taurus, Helbor e Eucatex;Publicado às 20h49. Tupy (TUPY3): lucro líquido de R$ 112 milhões no 1T24. A Tupy (TUPY3) teve lucro líquido de R$ 112 milhões no primeiro trimestre de 2024...;https://financenews.com.br/2024/05/resultado-da-tupy-banrisul-positivo-eneva-taurus-helbor-e-eucatex/&ved=2ahUKEwiwxMSi1LaGAxVTRmwGHfhPDS8QxfQBegQIABAC&usg=AOvVaw2UhuXOTghWR7zyd7twWSjb;á 2 semanas
Eucatex sofre ataque cibernético ocasionando paralisações de seu sistema de ERP e correio eletrônico;A Eucatex sofreu um ataque cibernético que resultou nas paralisações de seu sistema de ERP e correio eletrônico. O comunicado foi feito pela...;https://br.advfn.com/jornal/2024/05/eucatex-sofre-ataque-cibernetico-ocasionando-paralisacoes-de-seu-sistema-de-erp-e-correio-eletronico&ved=2ahUKEwiwxMSi1LaGAxVTRmwGHfhPDS8QxfQBegQIAxAC&usg=AOvVaw0Rp2bsGGzC7F_LY6f30gE-;á 4 semanas
Notícia da AES Brasil, CPFL, Eucatex, Iguatemi, Cury, Vivara, GPA, Eztec, Celesc;Os juros sobre capital próprio não sofrerão atualização monetária e terão incidência de imposto de renda, conforme legislação em vigor, e deverão ser pagos em...;https://financenews.com.br/2024/05/noticia-da-aes-brasil-cpfl-eucatex-iguatemi-cury-vivara-gpa-eztec-celesc/&ved=2ahUKEwiwxMSi1LaGAxVTRmwGHfhPDS8QxfQBegQIBhAC&usg=AOvVaw0sr2ZFFr4LuvTFtl71-xbM;á 1 mês
Eucatex (EUCA4) comunica ataque cibernético e diz não haver evidências de perdas e vazamentos;A Eucatex (EUCA4) sofreu um ataque cibernético que resultou nas paralisações de seu sistema de ERP e correio eletrônico, informou a companhia nesta...;https://acionista.com.br/eucatex-euca4-comunica-ataque-cibernetico-e-diz-nao-haver-evidencias-de-perdas-e-vazamentos/&ved=2ahUKEwiwxMSi1LaGAxVTRmwGHfhPDS8QxfQBegQIAhAC&usg=AOvVaw2IetiYD2rHEBSxfBXNr4HL;á 1 mês
Olimpíada do Trabalhador: final de semana tem disputas de cinco modalidades;A Olimpíada do Trabalhador Saltense, promovida e realizada pela Secretaria Municipal de Esportes e Lazer, terá disputas envolvendo cinco modalidades neste...;https://salto.sp.gov.br/olimpiada-do-trabalhador-final-de-semana-tem-disputas-de-cinco-modalidades/&ved=2ahUKEwiwxMSi1LaGAxVTRmwGHfhPDS8QxfQBegQIARAC&usg=AOvVaw2dM4jxA08FERUt3-kLQ4it;á 1 mês
